City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hồ Chí Minh,Tân Phú,Tân Thành,Âu Cơ,"Cho thuê kho 500m2 đường Âu Cơ, Phường Tân Thành, Quận Tân Phú",500.0,50.0,100000.0
Hồ Chí Minh,Nhà Bè,Phước Kiển,Nguyễn Hữu Thọ,"Cho thuê đất 2,8ha MT Nguyễn Hữu Thọ Phước Kiển Nhà Bè giá 250 tr/th đã san lấp 1/2 tiện làm bãi xe",28000.0,250.00000000000003,8928.57142857143
Đồng Nai,Biên Hòa,Long Bình Tân,Bùi Văn Hòa,"Cho thuê xưởng 4400m2 KCN Amata, Tp Biên Hòa, Đồng Nai",7000.0,443.0,63285.71428571428
Đồng Nai,Nhơn Trạch,Phước Thiền,Hẻm 12 Ấp Chợ,"Cho thuê xưởng 8900m2 KCN Nhơn Trạch 1, Đồng Nai",8900.0,53.4,6000.0
Bình Dương,Thủ Dầu Một,Phú Tân,N5 Khu Công Nghiệp Sóng Thần 3,Cho thuê xưởng trong khu công nghiệp Sóng Thần 3 - Thủ Dầu Một - Bình Dương,18800.0,1842.4,98000.0
Hồ Chí Minh,Thủ Đức,An Khánh,Trần Não,"Cho thuê kho xưởng 100m2; 200m2 Trần Não, P. An Khánh, Quận 2, Tp Thủ Đức",100.0,10.0,100000.0
Hồ Chí Minh,Thủ Đức,Trường Thọ,Xa Lộ Hà Nội,"Cho thuê kho xưởng 1250m2, 2000m2, 5000m2 đường Xa Lộ Hà Nội, P. Trường Thọ, TP Thủ Đức",1250.0,87.5,70000.0
Đồng Nai,Biên Hòa,An Bình,Bùi Văn Hòa,"Cho thuê kho xưởng 1500m2 - 15.000m2 KCN Biên Hòa 1,2, Phường An Bình, Biên Hòa, Đồng Nai. 80k/m2",1500.0,120.0,80000.0
Hưng Yên,Văn Lâm,Thị Trấn Như Quỳnh,Cầu Như Quỳnh,Cho thuê kho xưởng rẻ tại Hưng Yên - Như Quỳnh- Văn Lâm- Hưng Yên,1000.0,55.0,55000.0
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,Cho thuê kho giá rẻ đường Lũy Bán Bích,2600.0,180.0,69230.76923076923
Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 2,Phạm Văn Đồng,Cho thuê đất khu Phạm Văn Đồng 300m2 kẹp kiệt,300.0,40.0,133333.33333333334
Hồ Chí Minh,Bình Chánh,Lê Minh Xuân,Mai Bá Hương,"Cho thuê nhà xưởng A13/2 Mai Bá Hương, Lê Minh Xuân, Bình Chánh",1000.0,25.0,25000.0
Đồng Nai,Biên Hòa,Long Bình,2 Khu Công Nghiệp Amata,XT230. Cho thuê xưởng 5000m2 khu công nghiệp Amata. Long Bình. Biên hòa. Đồng nai,5000.0,380.0,76000.0
Bình Dương,Thủ Dầu Một,Tương Bình Hiệp,Đại Lộ Bình Dương,Cho thuê xưởng tại Tương Bình Hiệp Thủ Dầu Một Bình Dương,1200.0,70.0,58333.333333333336
Bình Dương,Thủ Dầu Một,Tương Bình Hiệp,Đại Lộ Bình Dương,Cho thuê xưởng tại Tương Bình Hiệp Thủ Dầu Một Bình Dương,1200.0,70.0,58333.333333333336
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa B,Số 7 Khu CN Vĩnh Lộc,"Cho thuê kho xưởng KCN Vĩnh Lộc Bình Hưng Hòa B, Bình Tân 1000m2 PCCC tự động kiểm duyệt 120 tr",1000.0,120.0,120000.0
Quảng Ninh,Hạ Long,Bãi Cháy,Hạ Long,Cho thuê 3000m2 nhà xưởng tại Quảng Ninh,3000.0,90.0,30000.0
Long An,Bến Lức,Thanh Phú,Nguyễn Hữu Trí,"Cho thuê kho xưởng Nguyễn Hữu Trí, DT: 2.000m2, giá: 60tr, Long An",1500.0,60.0,40000.0
Đà Nẵng,Cẩm Lệ,Hòa An,Kiệt 65 Tôn Đản,"Cho thuê kho 300m2 đường Tôn Đản, Hòa An, Cẩm Lệ, Đà Nẵng",300.0,10.0,33333.333333333336
Đồng Nai,Biên Hòa,Tân Hiệp,Hẻm 424 Xa Lộ Hà Nội,Cho thuê nhà xưởng 5200m2 phường Phước Tân Biên Hòa Đồng Nai. 135 triệu,5200.0,135.0,25961.53846153846
Hà Nội,Tây Hồ,Phú Thượng,An Dương Vương,"Cho thuê kho xưởng rẻ và đẹp An Dương Vương, Phú Thượng, Tây Hồ, HN. DT 80m2, giá 4 triệu/th",80.0,4.0,50000.0
Hà Nội,Hoài Đức,Di Trạch,Ngõ 2,"Cho thuê kho xưởng Cụm CN Di Trạch - Hoaì Đức - Hà Nội, DT: 1000 - 2000 - 4000m2",2000.0,100.0,50000.0
Hồ Chí Minh,Gò Vấp,Phường 13,Lê Đức Thọ,"Cho thuê 300m2, kho xưởng đường Lê Đức Thọ, Gò Vấp",300.0,35.0,116666.66666666669
Hồ Chí Minh,Thủ Đức,Hiệp Bình Chánh,Hiệp Bình,"Cho thuê kho xưởng 600m2 gần đường Hiệp Bình, Phường Hiệp Bình Chánh, Quận Thủ Đức",600.0,30.0,50000.0
Hà Nội,Nam Từ Liêm,Tây Mỗ,70,"Cho thuê nhà xưởng tại Đường 70, Tây Mỗ, Nam Từ Liêm DT 400m2. Giá 80 ngàn /m2. LH 0987 497 ***",400.0,32.0,80000.0
Đồng Nai,Trảng Bom,Đông Hòa,Chợ 2,Cho thuê nhà xưởng 2.500m2 - giá chỉ 60 triệu - Hố Nai 3 - Trảng Bom - Đồng Nai,2500.0,60.0,24000.0
Hà Nội,Hà Đông,La Khê,Ngõ 36 Lê Trọng Tấn,"Kho, xưởng gia công 7x20m + gác lửng, đường Lê Trọng Tấn",150.0,12.0,80000.0
Long An,Đức Hòa,Đức Hòa Hạ,Tám Bình,"Cho thuê kho xưởng mới xây dựng xong 1,711 m2 tại ấp Bình Tiền xã Đức Hòa Hạ Huyện Đức Hòa, Long An",1711.0,90.0,52600.81823495032
Hồ Chí Minh,Bình Tân,Tân Tạo,Hẻm 117 Hồ Văn Long,"Cho thuê gấp kho xưởng 2,200 m tại đường Hồ Văn Long, Phường Tân Tạo Quận Bình Tân TPHCM",2200.0,140.0,63636.36363636364
Hồ Chí Minh,Thủ Đức,Trường Thọ,Số 2,Cho thuê kho xưởng đường 2 Phường Trường Thọ TP Thủ Đức,300.0,10.0,33333.333333333336
Bình Dương,Thuận An,Lái Thiêu,Cầu Tân Phú,Xưởng cho thuê có doccont An Phú Thuận An Bình Dương,8000.0,320.0,40000.0
Bình Dương,Thuận An,Bình Hòa,Tỉnh 743B,"Cho thuê kho xưởng 1000m2 ở phường bình hòa TP Thuận An, Bình Dương 0972 701 ***",1000.0,40.0,40000.0
Long An,Cần Giuộc,Long Hậu,KDC Long Hậu,"Cho thuê kho xưởng*5000m2 trong KCN Long Hậu, huyện Cần Giuộc, tỉnh Long An",5000.0,345.0,69000.0
Hà Nội,Hoài Đức,Kim Chung,Lai Xá,"Cho thuê kho cụm CN Lai Xá, Kim Chung, Hoài Đức. DT 1600m2, khung thép Zamin, cao 10m. 100k/m/th",1600.0,160.0,100000.0
Đà Nẵng,Thanh Khê,Tam Thuận,Nguyễn Tất Thành,"Cho thuê 500m2 đất đường Nguyễn Tất Thành, Thanh Khê, Đà Nẵng",500.0,30.0,60000.0
Đồng Nai,Vĩnh Cửu,Thiện Tân,Thiện Tân,"Cho thuê xưởng tại xã Thiện Tân, huyện Vĩnh Cửu, tỉnh Đồng Nai",2500.0,60.0,24000.0
Đồng Nai,Long Khánh,Xuân Trung,Hẻm 2 Hồ Thị Hương,Cho thuê kho xưởng 600m2 trung tâm Tp Long Khánh Đồng Nai giá 15tr LH 0937 147 ***,600.0,15.0,25000.0
Bình Dương,Dĩ An,Tân Đông Hiệp,D2,Cho thuê kho xưởng 150m2 điện 3fa Tân Đông Hiệp Dĩ An gần MPTV đường xe công 8tr/th,150.0,8.0,53333.333333333336
Bình Dương,Dĩ An,Tân Bình,Bùi Thị Xuân,Cho thuê kho xưởng 140m2 Tân Bình Dĩ An gần đường Bùi Thị Xuân 4tr/th (đường xe 10T),140.0,4.0,28571.42857142857
Bình Dương,Thuận An,Bình Chuẩn,Lê Thị Trung,Cho thuê kho xưởng 330m2 Bình Chuẩn Thuận An gần đường Lê Thị Trung 10tr/th (ko có điện 3fa),330.0,10.0,30303.030303030304
Khánh Hòa,Nha Trang,Vĩnh Hải,Nguyễn Khuyến,Cho thuê đất mặt tiền đường Nguyễn Khuyến Phường Vĩnh Hải - Nha Trang siêu đẹp,1200.0,40.0,33333.333333333336
Hồ Chí Minh,Bình Chánh,Tân Kiên,Nguyễn Cửu Phú,"Cho thuê kho xưởng Nguyễn Cửu Phú, DT: 1.800m2, giá: 85tr, Bình Chánh",1800.0,85.0,47222.22222222222
Hồ Chí Minh,Bình Tân,Tân Tạo,Số 51,"Cho thuê gara xe ô tô mặt tiền đường số 51 khu Tên Lửa DT 24x16m Phường Tân Tạo, Bình Tân",384.0,25.0,65104.16666666666
Đồng Nai,Biên Hòa,Long Bình Tân,Bùi Văn Hòa,"Cho thuê xưởng 600m2 tại Tân Biên, Biên Hoà, Đồng Nai",600.0,17.0,28333.33333333333
Đồng Nai,Trảng Bom,Xã Hố Nai 3,Đồi Thái Hòa,Cho thuê xưởng 10.000m2 KCN Hố Nai 3 Trảng Bom,10000.0,700.0,70000.0
Đồng Nai,Biên Hòa,Phước Tân,Hẻm 1423 Tổ 22 Vườn Dừa Phước Tân,Cho thuê xưởng Phước Tân Biên Hòa 13.000m2 chỉ 400 triệu,13000.0,400.0,30769.23076923077
Hà Nội,Hoài Đức,Kim Chung,Lai Xá,"Cho thuê xưởng cụm KCN Lai Xá - Kim Chung, Hoài Đức - DT 5000 m, xưởng cao thoáng. LH: 0975 102 ***",5000.0,375.0,75000.0
Long An,Châu Thành,Hòa Phú,Tỉnh 827,Cho thuê kho 1900m2 Tỉnh Lộ 827 Châu Thành Long An,1900.0,100.0,52631.57894736842
Hồ Chí Minh,Tân Bình,Phường 13,Cộng Hòa,Cho thuê kho hẻm đường Cộng Hoà Phường 4 Quận Tân Bình TP. HCM,500.0,80.0,160000.0
Hồ Chí Minh,Quận 7,Phú Thuận,Huỳnh Tấn Phát,"Cho thuê kho 4.500m2 đường xe container Huỳnh Tấn Phát, phường Bình Thuận, Quận 7",4500.0,550.0,122222.22222222222
Hà Nội,Tây Hồ,Quảng An,Quảng An,"Cho thuê nhà xưởng chính chủ 100 - 150 m2 tại chợ hoa Quảng An, Tây Hồ, Hà Nội",150.0,1.8,12000.0
Đồng Nai,Biên Hòa,Phước Tân,Đinh Quang Ân,"Cho thuê kho xưởng, tại Phước Tân TP Biên Hòa Đồng Nai",5000.0,140.0,28000.0
Long An,Cần Giuộc,Phước Lâm,ĐT.835,"Cho thuê nhà xưởng đường DT835B xã Phước Lý, huyện Cần Giuộc, Long An - 450 m2",450.0,22.0,48888.88888888889
Hồ Chí Minh,Gò Vấp,Phường 5,Trần Bá Giao,"Cho thuê 306m2 đất, mặt tiền 12m, hẻm 6m, 1 sẹc, Đường Trần Bá Giao, Phường 5, Gò Vấp",306.0,30.0,98039.2156862745
Hà Nội,Hoài Đức,La Phù,La Phù,"Chính chủ kho xưởng 500m2 - 1000m2 - 2000m2 dựng mới tại La Phù, Hoài Đức, Hà Nội",500.0,32.5,65000.0
Hồ Chí Minh,Bình Tân,Tân Tạo,Số 2,"Cho thuê kho xưởng 11.000m2 góc 2 mặt tiền đường số 2 KCN Tân Tạo, Bình Tân",6500.0,715.0,110000.0
Đồng Nai,Biên Hòa,Tam Phước,51,"Cho thuê xưởng sản xuất 56.000m2 khu công nghiệp Tam Phước, Biên Hòa. Ngay Quốc Lộ 51-XT263",56000.0,2500.0,44642.857142857145
Đồng Nai,Trảng Bom,Tây Hòa,1A,"Cho thuê xưởng có 8350m2 Đông Hòa, Trảng Bom, Đồng Nai. Gần Quốc Lộ 1A-XT237",8350.0,150.0,17964.071856287424
Hồ Chí Minh,Quận 7,Phú Thuận,Nguyễn Văn Quỳ,"Quá rẻ! Cho thuê kho cảng Lotus, mặt tiền đường Nguyễn Văn Quỳ, Quận 7",200.0,20.0,100000.0
Hồ Chí Minh,Thủ Đức,Linh Xuân,QL.1K,"Cho thuê kho xưởng 540m2 - 910m2 QL 1K, Linh Xuân, Quận Thủ Đức",540.0,30.0,55555.55555555556
Bình Dương,Dĩ An,Tân Đông Hiệp,TL.743B,Cần cho thuê kho xưởng tại Tân Đông Hiệp Dĩ An Bình Dương 1000m2 giá 80tr/tháng,100.0,80.0,800000.0
Hà Nội,Long Biên,Việt Hưng,Ngõ 80 Hoa Lâm,Cho thuê nhà làm kho - xưởng KĐT Việt Hưng Long Biên - giá: 7tr/ tháng,670.0,7.0,10447.76119402985
Bình Dương,Bến Cát,Hòa Lợi,Nguyễn Văn Thành,Cần cho thuê kho xưởng 670m2 mặt tiền đường Nguyễn Văn Thành Bến Cát Bình Dương,2700.0,30.0,11111.111111111111
Hồ Chí Minh,Thủ Đức,Phước Long B,Tăng Nhơn Phú,"Cho thuê kho xưởng 280m2 Tăng Nhơn Phú, Phước Long B, Quận 9",4000.0,22.0,5500.0
Hồ Chí Minh,Thủ Đức,Phước Long B,Tăng Nhơn Phú,"Cho thuê kho xưởng 300m2 đường Tăng Nhơn Phú, Phước Long B, Quận 9",280.0,22.4,80000.0
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Mỹ Đình,Cho thuê kho xưởng đẹp tại Mỹ Đình - Nam Từ Liêm - Hà Nội. Diện tích 200m2 giá thuê 18 triệu/tháng,200.0,18.0,90000.0
Đồng Nai,Trảng Bom,Thị Trấn Trảng Bom,Trần Phú,Cho thuê nhà xưởng 3 mặt tiền 1000m2 giá 35 triệu/tháng - Phú Sơn - Trảng Bom - Đồng Nai,1000.0,35.0,35000.0
Hồ Chí Minh,Thủ Đức,Tam Bình,Lô A,"Cho thuê kho xưởng mặt tiền Quốc Lộ 1A, P Tam Bình, Thủ Đức (10.5x35m)",350.0,25.000000000000004,71428.57142857143
Hà Nội,Nam Từ Liêm,Xuân Phương,Trịnh Văn Bô,Cho thuê kho xưởng tại Trịnh Văn Bô - Nam Từ Liêm- Hà Nội. Diện tích 160m2 giá thuê 13 triệu/tháng,160.0,13.0,81250.0
Hồ Chí Minh,Thủ Đức,Long Bình,Hoàng Hữu Nam,"Cho thuê kho xưởng 800m2 đường Hoàng Hữu Nam, phường Long Bình, Quận 9, Tp. Thủ Đức",800.0,45.0,56250.0
Long An,Cần Giuộc,Long Hậu,KDC Long Hậu,"Cho thuê kho xưởng 1.120m2 trong KCN Long Hậu, Huyện Cần Giuộc, Tỉnh Long An",1120.0,3.36,3000.0
Hà Nội,Long Biên,Long Biên,Ngõ 12 Thạch Cầu,Cho thuê kho xưởng nhỏ tại Long Biên - P Thạch Cầu - Long Biên,270.0,15.0,55555.55555555556
Bắc Ninh,Yên Phong,Yên Phụ,Đi Bắc Ninh,Cho thuê kho tại Bắc ninh - Huyện Yên Phong- Bắc Ninh,1000.0,60.0,60000.0
Hồ Chí Minh,Gò Vấp,Phường 13,Lê Đức Thọ,"Cho thuê 160m2, kho xưởng đường Lê Đức Thọ, Gò Vấp",160.0,14.5,90625.0
Bình Dương,Dĩ An,Tân Bình,Mỹ Phước-Tân Vạn,"Cho thuê kho 200m2 tại Dĩ An Bình Dương, giá rẻ",200.0,7.0,35000.0
Hồ Chí Minh,Bình Tân,Tân Tạo A,Nguyễn Văn Cự,Cho thuê đất đường Nguyễn Văn Cự - Bình Tân 6600m,6600.0,100.0,15151.515151515152
Đồng Nai,Biên Hòa,Hóa An,Bùi Hữu Nghĩa,Cho thuê xưởng 7000m2 đường Bùi Hữu Nghĩa TP. Biên Hòa. Gần cầu mới Hóa An. Đường xe container,7000.0,150.0,21428.571428571428
Hồ Chí Minh,Củ Chi,Phạm Văn Cội,Số 490,"Cho thuê nhà xưởng Huyện Củ Chi, TPHCM",17529.0,500.0,28524.15996348908
Hồ Chí Minh,Tân Phú,Tây Thạnh,C4,"Nhà cho thuê 4 x 25m đường 14m phường Tây Thạnh, Q. Tân Phú",120.0,11.0,91666.66666666669
Hà Nội,Thường Tín,Văn Bình,Thành Công,"Cho thuê kho xưởng 1000m2 cụm công nghiệp Hà Bình Phương, Thường Tín, Hà Nội",1000.0,65.0,65000.0
Đồng Nai,Biên Hòa,Tam Phước,QL.51,"Cho thuê kho xưởng trong khu công nghiệp Tam Phước, Biên Hòa, ĐN",15000.0,1275.0,85000.0
Bình Dương,Thuận An,Vĩnh Phú,Hẻm 13 Đại Lộ Bình Dương,"Cho thuê kho xưởng khu vực An Phú, Thuận An Bình Dương",15000.0,400.0,26666.666666666668
Hồ Chí Minh,Bình Tân,Tân Tạo A,Nguyễn Cửu Phú,"Kho cho thuê 400m2 Cong 40 phít 16 tr Đường Nguyễn Cửu Phú, Phường Tân Tạo, Quận Bình Tân",400.0,16.0,40000.0
Hồ Chí Minh,Bình Tân,Tân Tạo A,Nguyễn Cửu Phú,"Kho cho thuê 400m2 Cong 40 phít 16 tr Đường Nguyễn Cửu Phú, Phường Tân Tạo, Quận Bình Tân",400.0,16.0,40000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,Lý Đạo Thành,"Cho thuê đất nền, nhà kho tại An Giang",3000.0,120.0,40000.0
Khánh Hòa,Nha Trang,Vĩnh Hòa,Phạm Văn Đồng,Cho thuê kho 160m2 ngang 8m mặt tiền Ngô Văn Sở Vĩnh Hòa Tp Nha Trang - Gần Phạm Văn Đồng,160.0,12.0,75000.0
Đồng Nai,Vĩnh Cửu,Thiện Tân,Tân Hiền,Cho thuê kho xưởng 2000m2 giá 45 triệu/tháng - Thiện Tân - Vĩnh Cửu - Đồng Nai,2000.0,45.0,22500.0
Đồng Nai,Vĩnh Cửu,Thiện Tân,Tân Hiền,Cho thuê kho xưởng 2000m2 giá 45 triệu/tháng - Thiện Tân - Vĩnh Cửu - Đồng Nai,2000.0,45.0,22500.0
Đồng Nai,Biên Hòa,Long Bình,2 Khu Công Nghiệp Amata,"Cho thuê xưởng 5000m2 trong khu công nghiệp Amata, Long Bình, Biên Hòa, Đồng Nai",5000.0,380.0,76000.0
Đà Nẵng,Hòa Vang,Hòa Châu,Văn Tiến Dũng,"Cho thuê 3.000m2 đất mặt tiền Đường Quốc lộ 1A, Hòa Châu, Hòa Vang, TP Đà Nẵng",3000.0,60.0,20000.0
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa,Lê Trọng Tấn,"Cần cho thuê sẵn kho xưởng 3.802 m2 trong KCN Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh",6670.0,667.0,100000.0
Hồ Chí Minh,Bình Chánh,Bình Chánh,Trịnh Như Khuê,"Cần cho thuê gấp sẵn kho Trịnh Như Khuê, xã Bình Chánh, huyện Bình Chánh",3100.0,180.0,58064.51612903226
Hà Nội,Hà Đông,Biên Giang,Biên Giang,"Cần cho thuê kho xưởng tại Biên Giang, Hà Đông",1600.0,96.0,60000.0
Hà Nội,Thanh Oai,Mỹ Hưng,Ngõ Kho,Cần cho thuê kho xưởng tại Mỹ Hưng Thanh Oai Hà Nội,1000.0,55.0,55000.0
Hà Nội,Nam Từ Liêm,Trung Văn,Hẻm 23 Đại Linh,"Cho thuê kho, nhà xưởng, nhà ở, tại phố Đại Linh, P Trung Văn, Q Nam Từ Liêm, gần Lê Quang Đạo mới",320.0,25.0,78125.0
Bình Dương,Thuận An,Thuận Giao,D2,"Xưởng 750m2 giá: 35 triệu Thuận Giao Thuận An đường cont, điện 3 pha, vp bên trong xưởng. Sx gỗ ok",750.0,35.0,46666.66666666666
Hồ Chí Minh,Quận 7,Phú Thuận,Hẻm 12 Đào Trí,Cần cho thuê đất và nhà xưởng mt đường Đào Trí P. Phú Thuận Quận 7,3000.0,120.0,40000.0
Bình Dương,Thuận An,An Thạnh,Thủ Khoa Huân,Cho thuê kho Thuận An - Bình Dương,5000.0,110.0,22000.0
Hà Nội,Đông Anh,Việt Hùng,Việt Hùng,"Cho thuê hơn 700m2 kho xưởng tại Việt Hùng, Đông Anh, Hà Nội",750.0,31.5,42000.0
Bình Dương,Bến Cát,Mỹ Phước,Bình Dương,"Cho thuê nhà xưởng tại Mỹ Phước, Bến Cát, Bình Dương",6000.0,365.0,60833.333333333336
Bình Dương,Thủ Dầu Một,Định Hòa,Nguyễn Văn Thành,"Cho thuê nhà xưởng tại Định Hòa, Thủ Dầu Một, Bình Dương",500.0,30.0,60000.0
Thái Bình,Thái Bình,Quang Trung,Phan Bá Vành,Cho thuê nhà xưởng TP Hoà Bình giá rẻ,10000.0,450.0,45000.0
Hà Nội,Đan Phượng,Đan Phượng,Ngõ Cầu,"Cho thuê 1800m2 kho, xưởng tại CCN Cầu Gáo, huyện Đan Phượng, Hà Nội",1800.0,108.0,60000.0
Hồ Chí Minh,Bình Chánh,Vĩnh Lộc B,Võ Văn Vân,"Kho cho thuê 20x60= 1200m2 giá thuê: 40 tr công 20 feet đường Võ Văn Vân, Vĩnh Lộc B, Bình Chánh",1200.0,40.0,33333.333333333336
Hà Nội,Đông Anh,Nguyên Khê,Nguyên Khê,"Cho thuê 1500m2 kho, xưởng tại CCN Nguyên Khê, Đông Anh, Hà Nội",1500.0,112.5,75000.0
Hà Nội,Gia Lâm,Kiêu Kỵ,Kiêu Kỵ,"Cho thuê kho xưởng 600m2 giá tốt tại Kiêu Kỵ, Gia Lâm, Hà Nội",600.0,36.0,60000.0
Hồ Chí Minh,Tân Phú,Tây Thạnh,Dương Đức Hiền,"Cho thuê đất trống 20x20m Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú",400.0,50.0,125000.0
Bình Dương,Thuận An,Thuận Giao,Đại Lộ Bình Dương,"Cho thuê kho xưởng 700m2 pháp lý đầy đủ kiểm duyệt PCCC Phường Thuận Giao, TP Thuận An, Bình Dương",700.0,42.0,60000.0
Lâm Đồng,Bảo Lộc,Đại Lào,QL.20,Hót cần cho thuê nhà xưởng 1000m2 tại QL20 xã Đại Lào thành phố Bảo Lộc Lâm Đồng,1000.0,20.0,20000.0
Đà Nẵng,Hải Châu,Hòa Cường Nam,Trương Chí Cương,"Đà Nẵng, cho thuê mặt bằng kinh doanh - khu đất trống 400m2",400.0,70.0,175000.0
Hồ Chí Minh,Bình Tân,Tân Tạo A,Số 10,"Cho kho chứa hàng 4,500m tại khu công nghiệp Tân Tạo, Phường Tân Tạo Quận Bình Tân TPHCM",4500.0,350.0,77777.77777777778
Hồ Chí Minh,Bình Chánh,Lê Minh Xuân,Trần Văn Giàu,"Cho thuê kho xưởng KCN Lê Minh Xuân 3, DT: 5.000m2, Bình Chánh",5000.0,300.0,60000.0
Long An,Đức Hòa,Đức Hòa Hạ,ĐT10,"Cho thuê kho xưởng KCN Đức Hòa, DT: 10.000m2, giá: 74.710đ/m2, Long An",6680.0,496.00000000000006,74251.49700598803
Hồ Chí Minh,Tân Bình,Phường 3,Phạm Văn Hai,"Cho thuê kho xưởng Phạm Văn Chí, Phường 7, Quận 6",1300.0,143.0,110000.0
Hồ Chí Minh,Bình Thạnh,Phường 12,Nơ Trang Long,Cho thuê kho Nơ Trang Long trung tâm Quận Bình Thạnh,50.0,6.5,130000.0
Đồng Nai,Biên Hòa,Long Bình Tân,Bùi Văn Hòa,Cho thuê xưởng mới 100% tại Bắc Tân Uyên Bình Dương,1900.0,130.0,68421.05263157895
Bình Dương,Thủ Dầu Một,Phú Tân,H1,Cho thuê xưởng trong khu công nghiệp Thủ Dầu Một Bình Dương,6500.0,565.5,87000.0
Hồ Chí Minh,Bình Chánh,Vĩnh Lộc A,Kinh Trung Ương,"Cho thuê xưởng đường Kênh Trung Ương ấp 4, P.Vĩnh Lộc A, Bình Chánh 220m2 giá 10 tr/tháng",220.0,10.0,45454.545454545456
Long An,Đức Hòa,Mỹ Hạnh Nam,824,"Cho thuê nhà xưởng khu công nghiệp Đức Hoà Đông, Đức Hoà Long An xe cont",10000.0,400.0,40000.0
Hồ Chí Minh,Bình Chánh,Tân Nhựt,Tân Long,"Cho thuê xưởng kho xưởng mặt tiền Tân Long, Tân Nhựt Bình Chánh đường 10t",1500.0,35.0,23333.33333333333
Hồ Chí Minh,Bình Chánh,Tân Kiên,Nguyễn Cửu Phú,"Cho thuê nhà xưởng đường xe cont, Nguyễn Cửu Phú, Tân Kiên, Bình Chánh đường xe cont 24/24",3500.0,150.0,42857.142857142855
Hồ Chí Minh,Bình Chánh,Tân Kiên,Trần Đại Nghĩa,"Cho thuê nhà xưởng đường Trần Đại Nghĩa, Tân Kiên Bình Chánh đường xe cont 24/24",400.0,27.0,67500.0
Hải Dương,Tứ Kỳ,Thị Trấn Tứ Kỳ,Lê Hồng Phong,"KH cho thuê gần 400m2 mặt đường Lê Hồng Phong, Hải An",360.0,30.0,83333.33333333333
Bắc Ninh,Tiên Du,Hoàn Sơn,Cầu Vượt Tiên Sơn,"Cho thuê 12014m2 kho, xưởng tại khu CN Tiên Sơn, huyện Tiên Du, tỉnh Bắc Ninh. LH 0906 218 ***",12014.0,901.05,75000.0
Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,Bùi Viện,Đất trống 160m2 mặt tiền Phạm Ngũ Lão quận 1 ngay khu phố Tây Bùi Viện giá tốt 110 triệu/th,160.0,110.0,687500.0
Hồ Chí Minh,Bình Chánh,Bình Hưng,Nguyễn Văn Linh,"Cho thuê kho xưởng Nguyễn Văn Linh, DT: 2.300m2, giá: 95k/m2, Bình Chánh",2300.0,220.0,95652.17391304349
